file,column,dtype,unit,description
fault_detection_metrics.csv,mean_detection_delay,float,samples,"Mean number of samples between fault onset and first detection, for sequential faults."
fault_final_exclusion_metrics.csv,dataset_split,str,-,"calibration | validation -- validation is the headline, publication-facing split."
fault_final_exclusion_metrics.csv,reason_code,str,-,The TRUE fault type being scored (single_spike | stuck_value | data_loss | gradual_drift | out_of_range).
fault_final_exclusion_metrics.csv,tp,int,count,Genuinely faulty sample that ended up excluded (usable=False) -- correctly discarded.
fault_final_exclusion_metrics.csv,fp,int,count,Clean/genuine-event sample that ended up excluded -- a real final false rejection.
fault_final_exclusion_metrics.csv,fn,int,count,"Genuinely faulty sample that was recovered (confirmed usable) -- a primary candidate that did NOT end in final exclusion; not automatically a defect (e.g. some faults legitimately revert), but never hidden."
fault_final_exclusion_metrics.csv,tn,int,count,Clean/genuine-event sample correctly left usable.
fault_final_exclusion_metrics.csv,precision,float,0-1,"tp / (tp + fp), scored against the FINAL usable/not-usable decision (not primary reason-code screening -- see fault_detection_metrics.csv for that)."
fault_final_exclusion_metrics.csv,recall,float,0-1,tp / (tp + fn).
fault_final_exclusion_metrics.csv,f1,float,0-1,Harmonic mean of precision and recall.
fault_final_exclusion_metrics.csv,specificity,float,0-1,tn / (tn + fp).
fault_final_exclusion_metrics.csv,false_positive_rate,float,0-1,fp / (fp + tn); 1 - specificity.
fault_detection_event_metrics.csv,dataset_split,str,-,"calibration | validation -- validation is the headline, publication-facing split."
fault_detection_event_metrics.csv,reason_code,str,-,single_spike | stuck_value | data_loss | gradual_drift | out_of_range.
fault_detection_event_metrics.csv,temporal_tolerance_samples,int,samples,Matching tolerance used: a predicted detection interval and a true event match if they overlap or are within this many samples.
fault_detection_event_metrics.csv,n_true_events,int,count,Injected faults of this type in this split.
fault_detection_event_metrics.csv,n_predicted_events,int,count,"Predicted detection intervals of this type (contiguous runs of flagged samples, merged within tolerance) in this split."
fault_detection_event_metrics.csv,tp,int,count,Event-level true positives (one-to-one matched).
fault_detection_event_metrics.csv,fp,int,count,Predicted events with no matching true event.
fault_detection_event_metrics.csv,fn,int,count,True events with no matching predicted event.
fault_detection_event_metrics.csv,precision,float,0-1,tp / (tp + fp).
fault_detection_event_metrics.csv,recall,float,0-1,tp / (tp + fn).
fault_detection_event_metrics.csv,f1,float,0-1,Harmonic mean of precision and recall.
fault_detection_event_metrics.csv,mean_detection_delay,float,samples,"Mean (matched predicted interval start - true event start), across true positives."
fault_detection_confusion_matrix.csv,dataset_split,str,-,calibration | validation.
fault_detection_confusion_matrix.csv,true_label,str,-,"The sample's true fault type, or 'none' if genuinely clean/a genuine_event."
fault_detection_confusion_matrix.csv,predicted_label,str,-,"A reason code actually predicted for that sample, or 'none' if it carried zero."
fault_detection_confusion_matrix.csv,count,int,count,"Number of samples with this (true_label, predicted_label) pair."
hampel_calibration.csv,dataset_split,str,-,calibration | validation.
hampel_calibration.csv,window_size,int,samples,Hampel filter window size tested.
hampel_calibration.csv,mad_multiplier,float,-,Hampel filter MAD multiplier tested.
hampel_calibration.csv,fault_recall,float,0-1,R_spike: recall for single_spike detection on this split.
hampel_calibration.csv,genuine_event_preservation_rate,float,0-1,P_event: fraction of genuine rapid environmental events not falsely flagged.
hampel_calibration.csv,single_spike_false_positive_rate,float,0-1,FPR_spike: single_spike false-positive rate on this split.
hampel_calibration.csv,objective_score,float,-,S = (R_spike + P_event + (1 - FPR_spike)) / 3.
hampel_calibration.csv,selected,bool,-,"True for exactly the (window_size=11, mad_multiplier) combination selected by iaq_hfis.evaluation.fault_injection.select_hampel_multiplier from the calibration split only."
